date,flow
2008/7/13,100.27
2008/7/14,84.6
2008/7/15,76.52
2008/7/2,201.18
2008/7/3,197.94
2008/7/4,398.28
2008/7/5,247.07
2008/7/6,182.99
2008/7/7,161.92
2008/7/8,223.67
2008/7/9,285.78
2008/8/10,119.76
2008/8/11,82.3
2008/8/12,66.77
2008/8/24,188.39
2008/8/25,128.46
2008/8/26,85.89
2008/8/29,899.2
2008/8/30,298.88
2008/8/31,228.0
2008/8/9,140.82
2008/9/1,171.0
2008/9/10,71.67
2008/9/2,158.87
2008/9/22,230.06
2008/9/23,111.46
2008/9/24,77.55
2008/9/3,350.53
2008/9/4,281.43
2008/9/5,171.08
2008/9/6,125.81
2008/9/7,100.69
2008/9/8,85.08
2008/9/9,77.58
2009/1/1,49.08
2009/1/2,42.78
2009/1/23,55.77
2009/1/24,62.69
2009/1/25,58.81
2009/1/26,55.9
2009/1/3,40.27
2009/1/4,40.65
2009/1/5,40.5
2009/1/6,39.18
2009/1/7,40.87
2009/10/10,104.72
2009/10/11,81.74
2009/10/12,69.1
2009/10/13,62.39
2009/10/23,40.36
2009/10/24,38.2
2009/10/25,37.15
2009/10/26,43.01
2009/10/27,39.23
2009/10/28,39.86
2009/10/29,39.48
2009/10/3,306.89
2009/10/8,351.6
2009/10/9,180.55
2009/11/15,194.12
2009/11/26,54.99
2009/11/27,49.34
2009/11/28,50.17
2009/12/21,51.38
2009/12/22,46.47
2009/12/23,46.9
2009/12/24,48.73
2009/12/25,49.73
2009/12/26,56.07
2009/12/27,63.01
2009/12/9,45.2
2009/2/1,188.87
2009/2/15,144.1
2009/2/16,87.94
2009/2/17,74.86
2009/2/18,66.72
2009/2/19,61.83
2009/2/20,96.41
2009/2/21,101.94
2009/2/22,78.82
2009/2/23,135.88
2009/2/24,166.53
2009/2/25,244.91
2009/2/26,268.38
2009/2/27,175.82
2009/2/6,60.27
2009/3/14,929.66
2009/3/15,388.03
2009/3/16,221.12
2009/3/17,160.06
2009/3/18,130.64
2009/3/19,108.23
2009/3/20,108.79
2009/3/21,110.88
2009/3/22,184.25
2009/3/23,536.81
2009/3/24,225.5
2009/3/25,158.32
2009/3/26,131.95
2009/3/3,80.21
2009/3/4,80.64
2009/3/5,73.23
2009/3/6,206.65
2009/3/7,277.51
2009/3/8,153.67
2009/4/1,66.97
2009/4/14,65.44
2009/4/15,153.59
2009/4/16,76.02
2009/4/17,63.55
2009/4/18,59.53
2009/4/19,56.24
2009/4/2,57.86
2009/4/20,53.25
2009/4/22,191.37
2009/4/26,312.69
2009/4/27,214.84
2009/4/28,143.77
2009/4/3,57.9
2009/4/4,56.86
2009/4/5,56.67
2009/4/6,55.03
2009/5/1,75.81
2009/5/14,53.82
2009/5/15,51.42
2009/5/16,51.56
2009/5/17,262.26
2009/5/18,579.34
2009/5/19,206.4
2009/5/2,67.73
2009/5/20,131.46
2009/5/21,99.32
2009/5/3,61.58
2009/6/1,83.95
2009/6/11,193.9
2009/6/13,77.47
2009/6/14,67.04
2009/6/15,55.71
2009/6/16,53.83
2009/6/17,103.7
2009/6/18,64.93
2009/6/2,63.08
2009/6/22,271.22
2009/6/23,765.83
2009/6/24,313.83
2009/6/25,181.49
2009/6/26,128.22
2009/6/3,59.22
2009/6/30,303.33
2009/7/1,197.85
2009/7/10,475.88
2009/7/11,309.14
2009/7/12,207.28
2009/7/13,161.89
2009/7/14,133.06
2009/7/15,105.46
2009/7/16,89.2
2009/7/17,313.77
2009/7/18,375.6
2009/7/19,221.1
2009/7/2,308.77
2009/7/20,274.07
2009/7/21,296.08
2009/7/22,615.76
2009/7/23,324.51
2009/7/24,221.92
2009/7/25,296.56
2009/7/26,445.92
2009/7/27,1183.76
2009/7/28,1923.75
2009/7/29,1913.94
2009/7/3,193.31
2009/7/30,1491.97
2009/7/31,625.95
2009/7/4,174.74
2009/7/5,139.92
2009/7/6,141.91
2009/7/7,197.66
2009/7/8,653.56
2009/7/9,766.56
2009/8/1,785.59
2009/8/10,441.95
2009/8/11,341.36
2009/8/12,224.03
2009/8/13,170.24
2009/8/14,141.01
2009/8/15,114.85
2009/8/16,99.82
2009/8/2,1670.26
2009/8/27,58.38
2009/8/28,54.75
2009/8/29,53.31
2009/8/3,1151.34
2009/8/30,51.57
2009/8/31,47.44
2009/8/4,512.57
2009/8/5,328.56
2009/8/6,268.14
2009/8/7,292.93
2009/8/8,257.06
2009/8/9,205.99
2009/9/12,51.87
2009/9/13,68.9
2009/9/14,48.48
2009/9/25,36.35
2009/9/26,34.95
2009/9/27,36.23
2009/9/28,37.03
2009/9/29,43.81
